Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,21.680000,21.680000,20.030001,20.040001,20.040001,0
2010-01-05,20.049999,20.129999,19.340000,19.350000,19.350000,0
2010-01-06,19.590000,19.680000,18.770000,19.160000,19.160000,0
2010-01-07,19.680000,19.709999,18.700001,19.059999,19.059999,0
2010-01-08,19.270000,19.270000,18.110001,18.129999,18.129999,0
2010-01-11,16.930000,17.740000,16.860001,17.549999,17.549999,0
2010-01-12,17.950001,19.459999,17.950001,18.250000,18.250000,0
2010-01-13,17.940001,18.719999,17.559999,17.850000,17.850000,0
2010-01-14,18.160000,18.270000,17.379999,17.629999,17.629999,0
2010-01-15,17.629999,19.020000,17.629999,17.910000,17.910000,0
2010-01-19,18.629999,18.850000,17.330000,17.580000,17.580000,0
2010-01-20,18.510000,19.690001,18.440001,18.680000,18.680000,0
2010-01-21,18.590000,22.299999,18.270000,22.270000,22.270000,0
2010-01-22,22.270000,28.010000,22.270000,27.309999,27.309999,0
2010-01-25,27.320000,27.320000,24.610001,25.410000,25.410000,0
2010-01-26,26.030001,26.219999,22.770000,24.549999,24.549999,0
2010-01-27,24.809999,25.690001,23.139999,23.139999,23.139999,0
2010-01-28,22.790001,25.299999,22.690001,23.730000,23.730000,0
2010-01-29,23.730000,25.030001,22.110001,24.620001,24.620001,0
2010-02-01,24.330000,24.330000,22.580000,22.590000,22.590000,0
2010-02-02,22.590000,22.990000,21.080000,21.480000,21.480000,0
2010-02-03,22.110001,22.110001,21.330000,21.600000,21.600000,0
2010-02-04,22.629999,26.320000,22.629999,26.080000,26.080000,0
2010-02-05,25.690001,29.219999,25.370001,26.110001,26.110001,0
2010-02-08,26.110001,27.110001,25.480000,26.510000,26.510000,0
2010-02-09,26.510000,26.559999,24.780001,26.000000,26.000000,0
2010-02-10,26.360001,26.770000,24.799999,25.400000,25.400000,0
2010-02-11,25.820000,26.110001,23.870001,23.959999,23.959999,0
2010-02-12,23.959999,25.540001,22.730000,22.730000,22.730000,0
2010-02-16,23.510000,23.570000,22.129999,22.250000,22.250000,0
2010-02-17,22.250000,22.600000,21.700001,21.719999,21.719999,0
2010-02-18,21.719999,22.209999,20.600000,20.629999,20.629999,0
2010-02-19,21.070000,21.139999,19.709999,20.020000,20.020000,0
2010-02-22,20.160000,21.000000,19.590000,19.940001,19.940001,0
2010-02-23,20.389999,21.940001,20.059999,21.370001,21.370001,0
2010-02-24,21.230000,21.580000,20.219999,20.270000,20.270000,0
2010-02-25,22.030001,22.680000,20.059999,20.100000,20.100000,0
2010-02-26,19.879999,20.530001,19.320000,19.500000,19.500000,0
2010-03-01,19.930000,19.940001,19.180000,19.260000,19.260000,0
2010-03-02,18.830000,19.360001,18.600000,19.059999,19.059999,0
2010-03-03,18.950001,19.299999,18.420000,18.830000,18.830000,0
2010-03-04,18.860001,19.270000,18.580000,18.719999,18.719999,0
2010-03-05,18.059999,18.150000,17.230000,17.420000,17.420000,0
2010-03-08,17.950001,17.959999,17.559999,17.790001,17.790001,0
2010-03-09,18.180000,18.190001,17.510000,17.920000,17.920000,0
2010-03-10,18.000000,18.600000,17.430000,18.570000,18.570000,0
2010-03-11,18.900000,19.340000,18.059999,18.059999,18.059999,0
2010-03-12,17.969999,18.530001,17.580000,17.580000,17.580000,0
2010-03-15,18.280001,18.780001,17.959999,18.000000,18.000000,0
2010-03-16,17.780001,18.010000,17.420000,17.690001,17.690001,0
2010-03-17,16.969999,17.170000,16.520000,16.910000,16.910000,0
2010-03-18,16.959999,16.990000,16.309999,16.620001,16.620001,0
2010-03-19,16.170000,17.570000,16.170000,16.969999,16.969999,0
2010-03-22,18.299999,18.340000,16.770000,16.870001,16.870001,0
2010-03-23,16.840000,17.090000,16.209999,16.350000,16.350000,0
2010-03-24,16.850000,17.920000,16.830000,17.549999,17.549999,0
2010-03-25,17.070000,18.540001,16.620001,18.400000,18.400000,0
2010-03-26,18.270000,18.690001,17.350000,17.770000,17.770000,0
2010-03-29,18.170000,18.280001,17.570000,17.590000,17.590000,0
2010-03-30,17.639999,18.080000,17.129999,17.129999,17.129999,0
2010-03-31,17.660000,17.920000,17.290001,17.590000,17.590000,0
2010-04-01,17.010000,18.090000,16.790001,17.469999,17.469999,0
2010-04-05,17.959999,18.160000,17.020000,17.020000,17.020000,0
2010-04-06,17.389999,17.540001,16.080000,16.230000,16.230000,0
2010-04-07,16.719999,17.209999,16.160000,16.620001,16.620001,0
2010-04-08,17.209999,17.799999,16.299999,16.480000,16.480000,0
2010-04-09,16.320000,16.650000,16.059999,16.139999,16.139999,0
2010-04-12,15.670000,16.000000,15.230000,15.580000,15.580000,0
2010-04-13,15.980000,16.770000,15.810000,16.200001,16.200001,0
2010-04-14,15.800000,16.379999,15.550000,15.590000,15.590000,0
2010-04-15,15.870000,16.500000,15.680000,15.890000,15.890000,0
2010-04-16,16.190001,19.700001,16.110001,18.360001,18.360001,0
2010-04-19,19.139999,19.549999,17.340000,17.340000,17.340000,0
2010-04-20,16.840000,16.889999,15.730000,15.730000,15.730000,0
2010-04-21,15.940000,16.850000,15.500000,16.320000,16.320000,0
2010-04-22,17.480000,18.190001,16.200001,16.469999,16.469999,0
2010-04-23,16.620001,16.709999,16.120001,16.620001,16.620001,0
2010-04-26,17.520000,17.530001,17.070000,17.469999,17.469999,0
2010-04-27,18.129999,23.200001,17.940001,22.809999,22.809999,0
2010-04-28,22.080000,23.030001,20.860001,21.080000,21.080000,0
2010-04-29,20.370001,20.370001,18.440001,18.440001,18.440001,0
2010-04-30,18.750000,22.389999,18.410000,22.049999,22.049999,0
2010-05-03,22.410000,22.410000,19.610001,20.190001,20.190001,0
2010-05-04,22.459999,25.700001,22.459999,23.840000,23.840000,0
2010-05-05,25.959999,27.230000,23.750000,24.910000,24.910000,0
2010-05-06,25.879999,40.709999,24.430000,32.799999,32.799999,0
2010-05-07,32.759998,42.150002,31.709999,40.950001,40.950001,0
2010-05-10,28.650000,30.889999,25.680000,28.840000,28.840000,0
2010-05-11,31.040001,31.040001,25.860001,28.320000,28.320000,0
2010-05-12,26.559999,26.670000,24.980000,25.520000,25.520000,0
2010-05-13,26.170000,26.850000,24.299999,26.680000,26.680000,0
2010-05-14,28.400000,33.240002,28.400000,31.240000,31.240000,0
2010-05-17,31.330000,35.250000,30.760000,30.840000,30.840000,0
2010-05-18,28.670000,34.169998,28.090000,33.549999,33.549999,0
2010-05-19,34.650002,38.419998,33.070000,35.320000,35.320000,0
2010-05-20,41.790001,46.369999,40.299999,45.790001,45.790001,0
2010-05-21,47.660000,48.200001,38.950001,40.099998,40.099998,0
2010-05-24,41.740002,41.740002,35.570000,38.320000,38.320000,0
2010-05-25,43.150002,43.740002,34.590000,34.610001,34.610001,0
2010-05-26,32.540001,35.020000,24.100000,35.020000,35.020000,0
2010-05-27,30.240000,31.030001,29.540001,29.680000,29.680000,0
2010-05-28,30.230000,33.299999,29.530001,32.070000,32.070000,0
2010-06-01,34.869999,35.680000,31.820000,35.540001,35.540001,0
2010-06-02,34.389999,34.570000,29.940001,30.170000,30.170000,0
2010-06-03,29.650000,31.200001,29.120001,29.459999,29.459999,0
2010-06-04,32.930000,36.119999,31.809999,35.480000,35.480000,0
2010-06-07,35.660000,36.799999,34.430000,36.570000,36.570000,0
2010-06-08,36.529999,37.380001,33.360001,33.700001,33.700001,0
2010-06-09,32.330002,34.119999,30.230000,33.730000,33.730000,0
2010-06-10,31.000000,31.770000,29.690001,30.570000,30.570000,0
2010-06-11,31.790001,31.790001,28.600000,28.790001,28.790001,0
2010-06-14,27.940001,28.719999,26.980000,28.580000,28.580000,0
2010-06-15,27.680000,27.840000,25.680000,25.870001,25.870001,0
2010-06-16,26.719999,26.719999,25.340000,25.920000,25.920000,0
2010-06-17,25.590000,26.639999,25.049999,25.049999,25.049999,0
2010-06-18,24.870001,24.879999,23.299999,23.950001,23.950001,0
2010-06-21,22.900000,25.639999,22.870001,24.879999,24.879999,0
2010-06-22,25.139999,27.049999,24.410000,27.049999,27.049999,0
2010-06-23,26.930000,28.549999,26.540001,26.910000,26.910000,0
2010-06-24,27.610001,30.270000,27.530001,29.740000,29.740000,0
2010-06-25,29.639999,30.410000,28.070000,28.530001,28.530001,0
2010-06-28,29.200001,29.900000,28.469999,29.000000,29.000000,0
2010-06-29,31.219999,35.389999,31.219999,34.130001,34.130001,0
2010-06-30,33.950001,34.630001,31.740000,34.540001,34.540001,0
2010-07-01,34.410000,37.580002,32.720001,32.860001,32.860001,0
2010-07-02,31.709999,31.879999,29.350000,30.120001,30.120001,0
2010-07-06,28.820000,31.150000,27.959999,29.650000,29.650000,0
2010-07-07,29.559999,29.559999,26.840000,26.840000,26.840000,0
2010-07-08,26.500000,27.420000,25.709999,25.709999,25.709999,0
2010-07-09,25.350000,25.670000,24.370001,24.980000,24.980000,0
2010-07-12,24.660000,25.139999,23.530001,24.430000,24.430000,0
2010-07-13,23.290001,24.570000,23.120001,24.559999,24.559999,0
2010-07-14,24.610001,25.799999,24.180000,24.889999,24.889999,0
2010-07-15,25.080000,27.240000,24.740000,25.139999,25.139999,0
2010-07-16,25.770000,28.160000,25.709999,26.250000,26.250000,0
2010-07-19,27.020000,27.299999,25.120001,25.969999,25.969999,0
2010-07-20,27.350000,27.400000,23.790001,23.930000,23.930000,0
2010-07-21,23.610001,26.629999,23.590000,25.639999,25.639999,0
2010-07-22,24.370001,24.850000,23.719999,24.629999,24.629999,0
2010-07-23,24.790001,25.170000,23.320000,23.469999,23.469999,0
2010-07-26,24.370001,24.610001,22.700001,22.730000,22.730000,0
2010-07-27,21.889999,23.570000,21.860001,23.190001,23.190001,0
2010-07-28,23.930000,24.540001,22.240000,24.250000,24.250000,0
2010-07-29,23.400000,25.540001,23.040001,24.129999,24.129999,0
2010-07-30,25.469999,27.320000,23.350000,23.500000,23.500000,0
2010-08-02,23.070000,23.240000,21.740000,22.010000,22.010000,0
2010-08-03,22.440001,23.059999,21.980000,22.629999,22.629999,0
2010-08-04,22.690001,23.690001,22.160000,22.209999,22.209999,0
2010-08-05,23.040001,23.129999,22.070000,22.100000,22.100000,0
2010-08-06,23.340000,23.889999,21.719999,21.740000,21.740000,0
2010-08-09,21.850000,22.870001,21.360001,22.139999,22.139999,0
2010-08-10,23.299999,24.240000,22.170000,22.370001,22.370001,0
2010-08-11,24.959999,26.100000,24.959999,25.389999,25.389999,0
2010-08-12,27.209999,27.209999,25.180000,25.730000,25.730000,0
2010-08-13,26.080000,26.260000,25.450001,26.240000,26.240000,0
2010-08-16,27.410000,28.100000,25.379999,26.100000,26.100000,0
2010-08-17,24.719999,24.889999,23.709999,24.330000,24.330000,0
2010-08-18,24.299999,25.230000,23.400000,24.590000,24.590000,0
2010-08-19,24.480000,26.780001,24.260000,26.440001,26.440001,0
2010-08-20,26.730000,27.000000,25.490000,25.490000,25.490000,0
2010-08-23,25.969999,25.969999,24.620001,25.660000,25.660000,0
2010-08-24,27.910000,28.770000,26.320000,27.459999,27.459999,0
2010-08-25,28.299999,28.920000,26.459999,26.700001,26.700001,0
2010-08-26,26.450001,27.549999,25.860001,27.370001,27.370001,0
2010-08-27,26.500000,28.110001,24.410000,24.450001,24.450001,0
2010-08-30,25.879999,27.209999,25.410000,27.209999,27.209999,0
2010-08-31,27.580000,27.830000,25.930000,26.049999,26.049999,0
2010-09-01,25.129999,25.129999,23.860001,23.889999,23.889999,0
2010-09-02,24.230000,24.309999,23.150000,23.190001,23.190001,0
2010-09-03,21.990000,22.780001,21.240000,21.309999,21.309999,0
2010-09-07,22.770000,23.940001,22.770000,23.799999,23.799999,0
2010-09-08,23.510000,23.559999,22.920000,23.250000,23.250000,0
2010-09-09,22.219999,23.240000,22.139999,22.809999,22.809999,0
2010-09-10,22.639999,22.870001,21.760000,21.990000,21.990000,0
2010-09-13,21.059999,22.049999,20.930000,21.209999,21.209999,0
2010-09-14,21.690001,21.969999,20.850000,21.559999,21.559999,0
2010-09-15,22.549999,22.799999,22.100000,22.100000,22.100000,0
2010-09-16,22.650000,22.830000,21.709999,21.719999,21.719999,0
2010-09-17,21.650000,22.559999,21.629999,22.010000,22.010000,0
2010-09-20,22.469999,22.580000,21.250000,21.500000,21.500000,0
2010-09-21,21.540001,22.590000,21.420000,22.350000,22.350000,0
2010-09-22,22.559999,23.190001,21.910000,22.510000,22.510000,0
2010-09-23,23.910000,24.059999,22.559999,23.870001,23.870001,0
2010-09-24,22.610001,22.610001,21.709999,21.709999,21.709999,0
2010-09-27,22.580000,22.750000,21.969999,22.540001,22.540001,0
2010-09-28,22.920000,24.280001,22.400000,22.600000,22.600000,0
2010-09-29,23.139999,23.450001,22.719999,23.250000,23.250000,0
2010-09-30,22.850000,24.520000,22.389999,23.700001,23.700001,0
2010-10-01,22.900000,23.670000,22.459999,22.500000,22.500000,0
2010-10-04,23.629999,24.340000,23.299999,23.530001,23.530001,0
2010-10-05,22.520000,23.080000,21.709999,21.760000,21.760000,0
2010-10-06,21.820000,22.129999,21.459999,21.490000,21.490000,0
2010-10-07,21.309999,22.160000,21.280001,21.559999,21.559999,0
2010-10-08,21.580000,21.639999,20.290001,20.709999,20.709999,0
2010-10-11,19.330000,19.510000,18.799999,18.959999,18.959999,0
2010-10-12,20.000000,20.100000,18.549999,18.930000,18.930000,0
2010-10-13,17.920000,19.160000,17.900000,19.070000,19.070000,0
2010-10-14,19.590000,21.020000,19.400000,19.879999,19.879999,0
2010-10-15,20.200001,21.590000,19.020000,19.030001,19.030001,0
2010-10-18,20.430000,20.709999,18.879999,19.090000,19.090000,0
2010-10-19,20.700001,21.350000,19.330000,20.629999,20.629999,0
2010-10-20,21.200001,21.200001,19.670000,19.790001,19.790001,0
2010-10-21,19.700001,20.530001,18.930000,19.270000,19.270000,0
2010-10-22,19.360001,19.360001,18.760000,18.780001,18.780001,0
2010-10-25,19.219999,19.879999,18.860001,19.850000,19.850000,0
2010-10-26,20.520000,21.010000,20.219999,20.219999,20.219999,0
2010-10-27,21.110001,22.370001,20.690001,20.709999,20.709999,0
2010-10-28,20.280001,21.410000,20.180000,20.879999,20.879999,0
2010-10-29,21.200001,21.400000,20.860001,21.200001,21.200001,0
2010-11-01,21.650000,22.540001,20.920000,21.830000,21.830000,0
2010-11-02,21.340000,21.820000,21.219999,21.570000,21.570000,0
2010-11-03,21.660000,22.020000,19.540001,19.559999,19.559999,0
2010-11-04,18.030001,18.799999,17.969999,18.520000,18.520000,0
2010-11-05,18.070000,18.440001,17.920000,18.260000,18.260000,0
2010-11-08,19.330000,19.350000,18.209999,18.290001,18.290001,0
2010-11-09,18.510000,19.389999,17.830000,19.080000,19.080000,0
2010-11-10,18.940001,19.959999,18.410000,18.469999,18.469999,0
2010-11-11,19.440001,19.750000,18.480000,18.639999,18.639999,0
2010-11-12,19.590000,21.230000,19.290001,20.610001,20.610001,0
2010-11-15,20.330000,20.370001,19.139999,20.200001,20.200001,0
2010-11-16,21.260000,23.070000,20.950001,22.580000,22.580000,0
2010-11-17,22.190001,22.209999,21.219999,21.760000,21.760000,0
2010-11-18,20.309999,20.309999,18.750000,18.750000,18.750000,0
2010-11-19,19.150000,19.719999,17.760000,18.040001,18.040001,0
2010-11-22,19.450001,20.139999,18.350000,18.370001,18.370001,0
2010-11-23,20.250000,21.450001,20.240000,20.629999,20.629999,0
2010-11-24,19.420000,19.610001,18.730000,19.559999,19.559999,0
2010-11-26,21.170000,22.219999,20.280001,22.219999,22.219999,0
2010-11-29,23.150000,23.840000,21.379999,21.530001,21.530001,0
2010-11-30,23.270000,23.790001,22.420000,23.540001,23.540001,0
2010-12-01,21.190001,21.430000,20.400000,21.360001,21.360001,0
2010-12-02,21.129999,21.129999,19.100000,19.389999,19.389999,0
2010-12-03,19.260000,19.280001,17.709999,18.010000,18.010000,0
2010-12-06,18.799999,18.850000,17.950001,18.020000,18.020000,0
2010-12-07,17.129999,18.150000,17.129999,17.990000,17.990000,0
2010-12-08,17.969999,18.320000,17.690001,17.740000,17.740000,0
2010-12-09,17.320000,17.840000,17.240000,17.250000,17.250000,0
2010-12-10,17.059999,17.629999,17.059999,17.610001,17.610001,0
2010-12-13,16.820000,17.670000,16.680000,17.549999,17.549999,0
2010-12-14,17.600000,17.950001,17.219999,17.610001,17.610001,0
2010-12-15,17.990000,18.139999,17.370001,17.940001,17.940001,0
2010-12-16,18.030001,18.270000,16.879999,17.389999,17.389999,0
2010-12-17,17.620001,17.639999,15.460000,16.110001,16.110001,0
2010-12-20,16.219999,16.860001,15.780000,16.410000,16.410000,0
2010-12-21,16.200001,16.620001,16.080000,16.490000,16.490000,0
2010-12-22,16.520000,16.559999,15.450000,15.450000,15.450000,0
2010-12-23,15.440000,16.860001,15.400000,16.469999,16.469999,0
2010-12-27,18.260000,18.320000,17.660000,17.670000,17.670000,0
2010-12-28,17.299999,17.990000,17.299999,17.520000,17.520000,0
2010-12-29,17.490000,17.490000,17.020000,17.280001,17.280001,0
2010-12-30,17.650000,17.889999,17.459999,17.520000,17.520000,0
